time,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,pattern,label,source_node
0,0.95,0.57,0.0,0.34199999999999997,0.0,0.5471999999999999,0.32831999999999995,0.0,0.19699199999999994,0.11819519999999997,0.07091711999999999,0.11346739199999996,0.0,0.11063070719999997,0.06637842431999998,0.0,0.039827054591999984,0.0,0.13445885951999995,0.30156354846719996,0.0,0.0,0.18093812908031998,0.18093812908031998,0.21712575489638397,decreasing,1,0
1,0.9104166666666667,0.5462499999999999,0.0,0.32775,0.0,0.5243999999999999,0.3146399999999999,0.0,0.18878399999999995,0.11327039999999997,0.06796223999999997,0.10873958399999994,0.0,0.10602109439999993,0.06361265663999996,0.0,0.03816759398399998,0.0,0.1288564070399999,0.28899840061439985,0.0,0.0,0.17339904036863993,0.17339904036863993,0.2080788484423679,decreasing,1,0
2,0.8708333333333332,0.5225,0.0,0.31349999999999995,0.0,0.5015999999999999,0.3009599999999999,0.0,0.18057599999999993,0.10834559999999996,0.06500735999999997,0.10401177599999996,0.0,0.10141148159999996,0.06084688895999997,0.0,0.03650813337599998,0.0,0.12325395455999995,0.2764332527615999,0.0,0.0,0.16585995165695994,0.16585995165695994,0.19903194198835195,decreasing,1,0
3,0.8312499999999999,0.49874999999999997,0.0,0.29924999999999996,0.0,0.4788,0.28728,0.0,0.172368,0.10342079999999998,0.06205247999999998,0.09928396799999997,0.0,0.09680186879999997,0.05808112127999998,0.0,0.03484867276799999,0.0,0.11765150207999996,0.26386810490879997,0.0,0.0,0.15832086294527997,0.15832086294527997,0.18998503553433596,decreasing,1,0
4,0.7916666666666666,0.475,0.0,0.285,0.0,0.45599999999999996,0.27359999999999995,0.0,0.16415999999999997,0.09849599999999997,0.059097599999999986,0.09455615999999997,0.0,0.09219225599999997,0.055315353599999985,0.0,0.03318921215999999,0.0,0.11204904959999996,0.2513029570559999,0.0,0.0,0.15078177423359995,0.15078177423359995,0.18093812908031992,decreasing,1,0
5,0.7520833333333332,0.45125,0.0,0.27075,0.0,0.4331999999999999,0.25991999999999993,0.0,0.15595199999999998,0.09357119999999998,0.056142719999999986,0.08982835199999997,0.0,0.08758264319999998,0.05254958591999998,0.0,0.03152975155199999,0.0,0.10644659711999996,0.23873780920319992,0.0,0.0,0.14324268552191996,0.14324268552191996,0.17189122262630394,decreasing,1,0
6,0.7124999999999999,0.42749999999999994,0.0,0.25649999999999995,0.0,0.41039999999999993,0.24623999999999993,0.0,0.14774399999999996,0.08864639999999997,0.053187839999999986,0.08510054399999997,0.0,0.08297303039999997,0.04978381823999998,0.0,0.029870290943999983,0.0,0.10084414463999995,0.2261726613503999,0.0,0.0,0.1357035968102399,0.1357035968102399,0.16284431617228792,decreasing,1,0
7,0.6729166666666666,0.40374999999999994,0.0,0.24224999999999994,0.0,0.3875999999999999,0.23255999999999993,0.0,0.13953599999999994,0.08372159999999997,0.05023295999999998,0.08037273599999996,0.0,0.07836341759999997,0.047018050559999976,0.0,0.028210830335999987,0.0,0.09524169215999996,0.21360751349759993,0.0,0.0,0.12816450809855995,0.12816450809855995,0.15379740971827194,decreasing,1,0
8,0.6333333333333334,0.38,0.0,0.22799999999999998,0.0,0.3648,0.21888,0.0,0.131328,0.0787968,0.04727808,0.075644928,0.0,0.0737538048,0.04425228288,0.0,0.026551369728000002,0.0,0.08963923968,0.2010423656448,0.0,0.0,0.12062541938688,0.12062541938688,0.144750503264256,decreasing,1,0
9,0.59375,0.35624999999999996,0.0,0.21374999999999997,0.0,0.34199999999999997,0.2052,0.0,0.12312,0.073872,0.04432319999999999,0.07091712,0.0,0.069144192,0.04148651519999999,0.0,0.024891909119999996,0.0,0.08403678719999999,0.18847721779199997,0.0,0.0,0.11308633067519998,0.11308633067519998,0.13570359681023997,decreasing,1,0
10,0.5541666666666666,0.3324999999999999,0.0,0.19949999999999993,0.0,0.3191999999999999,0.1915199999999999,0.0,0.11491199999999994,0.06894719999999996,0.04136831999999997,0.06618931199999996,0.0,0.06453457919999996,0.03872074751999998,0.0,0.023232448511999983,0.0,0.07843433471999996,0.17591206993919992,0.0,0.0,0.10554724196351993,0.10554724196351993,0.12665669035622393,decreasing,1,0
11,0.5145833333333334,0.30874999999999997,0.0,0.18525,0.0,0.2964,0.17784,0.0,0.106704,0.0640224,0.03841343999999999,0.061461504,0.0,0.05992496639999999,0.03595497983999999,0.0,0.021572987903999995,0.0,0.07283188223999998,0.16334692208639998,0.0,0.0,0.09800815325183998,0.09800815325183998,0.11760978390220797,decreasing,1,0
12,0.475,0.285,0.0,0.17099999999999999,0.0,0.27359999999999995,0.16415999999999997,0.0,0.09849599999999997,0.059097599999999986,0.03545855999999999,0.05673369599999998,0.0,0.055315353599999985,0.03318921215999999,0.0,0.019913527295999992,0.0,0.06722942975999997,0.15078177423359998,0.0,0.0,0.09046906454015999,0.09046906454015999,0.10856287744819199,decreasing,1,0
13,0.4354166666666667,0.26125,0.0,0.15675,0.0,0.2508,0.15048,0.0,0.090288,0.05417279999999999,0.03250368,0.05200588799999999,0.0,0.050705740799999996,0.03042344448,0.0,0.018254066688,0.0,0.06162697728,0.13821662638079998,0.0,0.0,0.08292997582847998,0.08292997582847998,0.09951597099417597,decreasing,1,0
14,0.39583333333333326,0.23749999999999996,0.0,0.14249999999999996,0.0,0.22799999999999992,0.13679999999999995,0.0,0.08207999999999997,0.04924799999999998,0.02954879999999999,0.04727807999999998,0.0,0.04609612799999998,0.027657676799999985,0.0,0.01659460607999999,0.0,0.05602452479999997,0.12565147852799993,0.0,0.0,0.07539088711679996,0.07539088711679996,0.09046906454015995,decreasing,1,0
15,0.35624999999999996,0.21374999999999997,0.0,0.12824999999999998,0.0,0.20519999999999997,0.12311999999999997,0.0,0.07387199999999998,0.044323199999999986,0.026593919999999993,0.042550271999999986,0.0,0.04148651519999998,0.02489190911999999,0.0,0.014935145471999992,0.0,0.050422072319999976,0.11308633067519995,0.0,0.0,0.06785179840511996,0.06785179840511996,0.08142215808614396,decreasing,1,0
16,0.3166666666666667,0.19,0.0,0.11399999999999999,0.0,0.1824,0.10944,0.0,0.065664,0.0393984,0.02363904,0.037822464,0.0,0.0368769024,0.02212614144,0.0,0.013275684864000001,0.0,0.04481961984,0.1005211828224,0.0,0.0,0.06031270969344,0.06031270969344,0.072375251632128,decreasing,1,0
17,0.2770833333333333,0.16624999999999995,0.0,0.09974999999999996,0.0,0.15959999999999994,0.09575999999999996,0.0,0.05745599999999997,0.03447359999999998,0.020684159999999986,0.03309465599999998,0.0,0.03226728959999998,0.01936037375999999,0.0,0.011616224255999992,0.0,0.03921716735999998,0.08795603496959996,0.0,0.0,0.052773620981759965,0.052773620981759965,0.06332834517811196,decreasing,1,0
18,0.2375,0.1425,0.0,0.08549999999999999,0.0,0.13679999999999998,0.08207999999999999,0.0,0.049247999999999986,0.029548799999999993,0.017729279999999997,0.02836684799999999,0.0,0.027657676799999992,0.016594606079999994,0.0,0.009956763647999996,0.0,0.033614714879999986,0.07539088711679999,0.0,0.0,0.045234532270079994,0.045234532270079994,0.05428143872409599,decreasing,1,0
19,0.19791666666666669,0.11875000000000002,0.0,0.07125000000000001,0.0,0.11400000000000002,0.0684,0.0,0.04104,0.024624,0.0147744,0.02363904,0.0,0.023048063999999997,0.013828838399999998,0.0,0.008297303039999997,0.0,0.028012262399999998,0.062825739264,0.0,0.0,0.037695443558399995,0.037695443558399995,0.045234532270079994,decreasing,1,0
20,0.1583333333333333,0.09499999999999997,0.0,0.05699999999999998,0.0,0.09119999999999998,0.054719999999999984,0.0,0.032831999999999986,0.01969919999999999,0.011819519999999993,0.01891123199999999,0.0,0.018438451199999987,0.011063070719999993,0.0,0.006637842431999995,0.0,0.02240980991999999,0.05026059141119998,0.0,0.0,0.030156354846719986,0.030156354846719986,0.03618762581606398,decreasing,1,0
21,0.11875,0.07125,0.0,0.042749999999999996,0.0,0.06839999999999999,0.04103999999999999,0.0,0.024623999999999993,0.014774399999999997,0.008864639999999998,0.014183423999999995,0.0,0.013828838399999996,0.008297303039999997,0.0,0.004978381823999998,0.0,0.016807357439999993,0.037695443558399995,0.0,0.0,0.022617266135039997,0.022617266135039997,0.027140719362047996,decreasing,1,0
22,0.0791666666666667,0.04750000000000002,0.0,0.02850000000000001,0.0,0.04560000000000001,0.027360000000000006,0.0,0.016416000000000004,0.009849600000000002,0.005909760000000001,0.009455616000000002,0.0,0.0092192256,0.00553153536,0.0,0.0033189212160000003,0.0,0.01120490496,0.025130295705600002,0.0,0.0,0.01507817742336,0.01507817742336,0.018093812908032,decreasing,1,0
23,0.0395833333333333,0.023749999999999976,0.0,0.014249999999999985,0.0,0.022799999999999977,0.013679999999999986,0.0,0.008207999999999991,0.004924799999999995,0.002954879999999997,0.004727807999999996,0.0,0.004609612799999995,0.002765767679999997,0.0,0.001659460607999998,0.0,0.0056024524799999946,0.012565147852799986,0.0,0.0,0.007539088711679992,0.007539088711679992,0.00904690645401599,decreasing,1,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,-1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,-1
2,0.0027898791034679064,0.0,0.0005703128340047285,0.0005174310721821741,0.00014726474008538407,0.0002689965298329323,0.0007211405163902946,0.0,0.0006384585188509591,0.0,0.00041916554372874187,0.0002790491396205979,0.00022680539319515445,0.0,0.0003406383716928326,0.0,5.343713839689173e-05,0.0,0.0,0.0,0.0,0.000777135397474344,0.0,0.0,0.00028650683969722463,normal,0,-1
